time,seconds_elapsed,dBFS
1765009585440000000,0.075,-160
1765009585555000000,0.19,-160
1765009585672000000,0.307,-160
1765009585788000000,0.423,-94
1765009585905000000,0.54,-71
1765009586022000000,0.657000244140625,-56
1765009586139000000,0.774,-47
1765009586455000000,1.09,-45
1765009586455000000,1.09,-160
1765009586489000000,1.124,-50
1765009586605000000,1.24,-47
1765009586722000000,1.356999755859375,-51
1765009586839000000,1.474,-47
1765009586956000000,1.591,-30
1765009587072000000,1.707,-48
1765009587189000000,1.824,-51
1765009587305000000,1.94,-47
1765009587422000000,2.057000244140625,-44
1765009587539000000,2.174,-39
1765009587655000000,2.29,-30
1765009587772000000,2.407,-44
1765009587889000000,2.524,-44
1765009588006000000,2.641000244140625,-47
1765009588122000000,2.756999755859375,-54
1765009588239000000,2.874,-45
1765009588355000000,2.99,-51
1765009588472000000,3.107,-50
1765009588588000000,3.223,-50
1765009588705000000,3.34,-49
1765009588822000000,3.457000244140625,-54
1765009588938000000,3.572999755859375,-41
1765009589055000000,3.69,-40
1765009589173000000,3.808,-40
1765009589289000000,3.924,-41
1765009589405000000,4.04,-45
1765009589522000000,4.156999755859375,-32
1765009589639000000,4.274,-37
1765009589755000000,4.39,-41
1765009589872000000,4.507,-44
1765009589990000000,4.625000244140625,-42
1765009590106000000,4.740999755859375,-45
1765009590225000000,4.86,-47
1765009590339000000,4.974,-45
1765009590455000000,5.09,-43
1765009590572000000,5.207,-45
1765009590689000000,5.324,-36
1765009590805000000,5.44,-34
1765009590922000000,5.556999755859375,-37
1765009591038000000,5.673000244140625,-40
1765009591155000000,5.79,-39
1765009591271000000,5.906,-42
1765009591388000000,6.023,-44
1765009591505000000,6.14,-32
1765009591622000000,6.257000244140625,-37
1765009591738000000,6.372999755859375,-37
1765009591855000000,6.49,-22
1765009591973000000,6.608,-35
1765009592089000000,6.724,-29
1765009592205000000,6.84,-24
1765009592322000000,6.956999755859375,-40
1765009592439000000,7.074,-50
1765009592556000000,7.191,-44
1765009592671000000,7.306,-46
1765009592789000000,7.424,-45
1765009592905000000,7.54,-44
1765009593022000000,7.657000244140625,-47
1765009593138000000,7.772999755859375,-53
1765009593255000000,7.89,-47
1765009593371000000,8.006,-49
1765009593491000000,8.126,-46
1765009593604000000,8.239,-45
1765009593722000000,8.356999755859375,-47
1765009593838000000,8.473000244140625,-38
1765009593955000000,8.59,-40
1765009594130000000,8.764999755859375,-46
1765009594255000000,8.89,-53
1765009594379000000,9.014,-54
1765009594505000000,9.14,-54
1765009594630000000,9.265000244140625,-54
1765009594754000000,9.388999755859375,-56
1765009594880000000,9.515,-38
1765009595005000000,9.64,-46
1765009595130000000,9.764999755859375,-53
1765009595255000000,9.89,-51
1765009595381000000,10.016,-44
1765009595504000000,10.139,-44
1765009595629000000,10.264,-47
1765009595754000000,10.388999755859375,-49
1765009595879000000,10.514,-49
1765009596004000000,10.639,-49
1765009596129000000,10.764,-48
1765009596254000000,10.889000244140625,-38
1765009596379000000,11.014,-48
1765009596504000000,11.139,-51
1765009596628000000,11.263,-52
1765009596755000000,11.39,-49
1765009596879000000,11.514,-40
1765009597004000000,11.639,-45
1765009597129000000,11.764,-42
1765009597254000000,11.889000244140625,-47
1765009597379000000,12.014,-49
1765009597505000000,12.14,-46
1765009597628000000,12.263,-50
1765009597754000000,12.388999755859375,-52
1765009597879000000,12.514,-25
1765009598005000000,12.64,-24
1765009598132000000,12.767,-40
1765009598254000000,12.889000244140625,-49
1765009598379000000,13.014,-55
1765009598504000000,13.139,-53
1765009598628000000,13.263,-56
1765009598753000000,13.388,-47
1765009598878000000,13.513000244140626,-41
1765009599003000000,13.638,-40
1765009599128000000,13.763,-45
1765009599253000000,13.888,-43
1765009599377000000,14.012,-20
1765009599504000000,14.139,-19
1765009599627000000,14.262,-40
1765009599753000000,14.388,-43
1765009599879000000,14.514,-44
1765009600003000000,14.638,-45
1765009600127000000,14.762,-43
1765009600252000000,14.887,-43
1765009600378000000,15.012999755859376,-51
1765009600503000000,15.138,-48
1765009600627000000,15.262,-41
1765009600752000000,15.387,-39
1765009600877000000,15.512,-43
